ESP netlab STA
8.95
6.25
6.75
6.31
6.87
6.56
14.3
8.47
5.79
6.56
9.43
6.98
6.28
6.81
7.95
11.6
6.61
16.0
6.11
9.55
6.39
8.12
6.54
7.73
27.6
7.36
6.36
9.32
7.08
6.36
6.35
10.3
6.43
11.7
12.2
10.7
8.98
6.43
13.7
12.4
6.46
9.52
8.8
6.18
6.22
7.49
22.3
13.1
8.26
6.71
7.71
12.7
6.46
6.4
6.21
6.31
12.6
7.46
6.43
6.63
