raspberry pi VPN network-home, 
69, 
50, 
47, 
54, 
45, 
47, 
45, 
50, 
47, 
47, 
49, 
49, 
47, 
58, 
53, 
47, 
46, 
45, 
45, 
50, 
47, 
49, 
41, 
46, 
49, 
47, 
50, 
46, 
49, 
64, 
50, 
49, 
51, 
51, 
53, 
50, 
47, 
50, 
49, 
46, 
56, 
53, 
44, 
46, 
48, 
46, 
47, 
48, 
56, 
49, 
53, 
48, 
50, 
44, 
43, 
50, 
123, 
141, 
44, 
47, 
46, 
47, 
53, 
43, 
44, 
44, 
46, 
51, 
46, 
66, 
45, 
41, 
40, 
37, 
39, 
37, 
33, 
39, 
38, 
48, 
49, 
45, 
49, 
50, 
49, 
46, 
61, 
66, 
46, 
44, 
45, 
45, 
47, 
45, 
46, 
45, 
48, 
49, 
45, 
49, 
51, 
61, 
51, 
47, 
48, 
45, 
46, 
48, 
46, 
48, 
45, 
69, 
47, 
49, 
49, 
50, 
43, 
48, 
44, 
47, 
50, 
51, 
50, 
59, 
53, 
38, 
38, 
40, 
42, 
37, 
37, 
38, 
38, 
47, 
43, 
47, 
46, 
45, 
45, 
47, 
50, 
48, 
43, 
48, 
46, 
47, 
50, 
48, 
53, 
46, 
49, 
44, 
55, 
38, 
40, 
41, 
42, 
39, 
35, 
41, 
40, 
38, 
48, 
48, 
43, 
132, 
46, 
49, 
47, 
43, 
45, 
52, 
48, 
50, 
45, 
48, 
45, 
44, 
47, 
46, 
51, 
53, 
54, 
48, 
65, 
47, 
48, 
54, 
49, 
45, 
48, 
47, 
47, 
46, 
45, 
46, 
46, 
46, 
49, 
47, 
52, 
46, 
68, 
47, 
46, 
43, 
47, 
43, 
76, 
48, 
44, 
48, 
46, 
48, 
48, 
48, 
46, 
47, 
48, 
51, 
48, 
47, 
48, 
56, 
49, 
47, 
51, 
45, 
46, 
47, 
47, 
49, 
47, 
47, 
45, 
39, 
46, 
51, 
48, 
44, 
44, 
43, 
43, 
48, 
47, 
44, 
47, 
54, 
47, 
45, 
45, 
60, 
49, 
45, 
47, 
59, 
46, 
45, 
47, 
45, 
55, 
42, 
37, 
40, 
38, 
40, 
37, 
39, 
39, 
36, 
38, 
37, 
135, 
46, 
45, 
51, 
48, 
45, 
47, 
49, 
45, 
44, 
45, 
48, 
42, 
48, 
46, 
47, 
46, 
42, 
39, 
40, 
39, 
40, 
40, 
38, 
41, 
35, 
38, 
47, 
50, 
49, 
45, 
63, 
47, 
45, 
46, 
44, 
47, 
49, 
47, 
48, 
52, 
49, 
45, 
46, 
51, 
37, 
47, 
39, 
39, 
37, 
37, 
43, 
39, 
37, 
41, 
48, 
46, 
48, 
54, 
48, 
49, 
48, 
47, 
50, 
49, 
50, 
47, 
50, 
48, 
46, 
55, 
48, 
49, 
44, 
46, 
50, 
44, 
44, 
47, 
44, 
51, 
47, 
55, 
45, 
51, 
49, 
46, 
44, 
43, 
49, 
46, 
48, 
48, 
48, 
46, 
47, 
46, 
46, 
45, 
46, 
42, 
47, 
47, 
48, 
46, 
47, 
47, 
49, 
44, 
117, 
49, 
48, 
47, 
44, 
46, 
44, 
42, 
46, 
47, 
46, 
44, 
47, 
47, 
48, 
50, 
48, 
47, 
55, 
47, 
49, 
67, 
45, 
65, 
55, 
46, 
45, 
48, 
45, 
48, 
43, 
48, 
52, 
49, 
52, 
48, 
49, 
44, 
57, 
53, 
44, 
46, 
46, 
48, 
52, 
48, 
44, 
46, 
46, 
49, 
44, 
50, 
46, 
48, 
50, 
47, 
50, 
49, 
48, 
51, 
47, 
50, 
46, 
46, 
54, 
47, 
51, 
51, 
47, 
50, 
48, 
48, 
48, 
54, 
42, 
39, 
36, 
39, 
38, 
39, 
40, 
43, 
40, 
46, 
44, 
48, 
59, 
47, 
47, 
53, 
46, 
51, 
48, 
47, 
45, 
32, 
47, 
44, 
43, 
45, 
47, 
39, 
39, 
40, 
39, 
35, 
39, 
40, 
125, 
41, 
101, 
47, 
65, 
79, 
93, 
107, 
107, 
46, 
52, 
56, 
48, 
45, 
48, 
46, 
62, 
48, 
55, 
49, 
53, 
45, 
50, 
49, 
47, 
49, 
46, 
44, 
45, 
45, 
48, 
49, 
47, 
49, 
49, 
47, 
51, 
46, 
46, 
46, 
50, 
49, 
46, 
49, 
50, 
47, 
62, 
41, 
47, 
46, 
46, 
44, 
45, 
46, 
54, 
49, 
44, 
52, 
63, 
44, 
45, 
46, 
50, 
45, 
47, 
49, 
46, 
49, 
48, 
51, 
48, 
56, 
47, 
50, 
47, 
49, 
45, 
46, 
51, 
51, 
49, 
48, 
58, 
48, 
46, 
46, 
49, 
51, 
44, 
46, 
50, 
45, 
47, 
46, 
43, 
52, 
46, 
46, 
46, 
48, 
47, 
48, 
46, 
50, 
53, 
54, 
93, 
96, 
49, 
53, 
46, 
50, 
48, 
42, 
47, 
49, 
45, 
64, 
45, 
46, 
51, 
46, 
55, 
52, 
48, 
41, 
43, 
48, 
50, 
45, 
49, 
51, 
45, 
45, 
47, 
49, 
45, 
46, 
49, 
55, 
48, 
48, 
48, 
48, 
44, 
44, 
49, 
54, 
45, 
46, 
47, 
45, 
46, 
45, 
50, 
47, 
44, 
50, 
47, 
48, 
50, 
49, 
47, 
45, 
47, 
47, 
50, 
44, 
51, 
50, 
48, 
50, 
45, 
49, 
44, 
44, 
45, 
49, 
45, 
45, 
51, 
50, 
48, 
45, 
38, 
39, 
39, 
37, 
38, 
45, 
40, 
40, 
41, 
38, 
43, 
49, 
46, 
46, 
51, 
50, 
45, 
47, 
51, 
44, 
49, 
55, 
63, 
47, 
51, 
50, 
44, 
51, 
43, 
48, 
43, 
135, 
45, 
50, 
69, 
48, 
53, 
51, 
48, 
50, 
46, 
46, 
48, 
47, 
48, 
45, 
49, 
52, 
49, 
46, 
45, 
48, 
48, 
42, 
42, 
36, 
46, 
37, 
37, 
39, 
45, 
39, 
37, 
39, 
43, 
54, 
47, 
50, 
47, 
45, 
52, 
48, 
44, 
43, 
47, 
46, 
52, 
42, 
50, 
46, 
43, 
41, 
49, 
44, 
50, 
42, 
42, 
54, 
46, 
49, 
46, 
49, 
46, 
51, 
44, 
54, 
45, 
50, 
47, 
44, 
46, 
47, 
46, 
48, 
48, 
58, 
48, 
47, 
47, 
46, 
47, 
45, 
45, 
49, 
47, 
56, 
52, 
50, 
48, 
48, 
47, 
49, 
47, 
52, 
45, 
57, 
48, 
50, 
47, 
44, 
51, 
