rp ESP32 Access Point connection, 
14, 
22, 
57, 
12, 
49, 
20, 
21, 
55, 
35, 
16, 
28, 
15, 
16, 
15, 
22, 
13, 
17, 
12, 
16, 
16, 
22, 
25, 
14, 
17, 
14, 
16, 
15, 
27, 
21, 
16, 
15, 
16, 
14, 
12, 
15, 
16, 
17, 
19, 
14, 
29, 
15, 
22, 
13, 
15, 
13, 
13, 
14, 
15, 
26, 
14, 
23, 
14, 
17, 
31, 
19, 
14, 
14, 
16, 
19, 
34, 
14, 
14, 
11, 
13, 
16, 
13, 
34, 
63, 
27, 
18, 
119, 
12, 
18, 
14, 
13, 
16, 
18, 
13, 
12, 
14, 
17, 
15, 
13, 
24, 
14, 
15, 
12, 
12, 
21, 
13, 
13, 
15, 
22, 
23, 
17, 
17, 
14, 
14, 
17, 
13, 
19, 
13, 
14, 
14, 
19, 
18, 
12, 
23, 
22, 
13, 
14, 
17, 
14, 
37, 
15, 
16, 
17, 
15, 
17, 
13, 
26, 
33, 
14, 
19, 
82, 
15, 
15, 
16, 
24, 
17, 
71, 
25, 
50, 
16, 
14, 
18, 
28, 
25, 
18, 
15, 
14, 
25, 
22, 
17, 
15, 
15, 
18, 
15, 
21, 
15, 
16, 
22, 
15, 
15, 
46, 
15, 
17, 
15, 
16, 
26, 
17, 
13, 
13, 
14, 
14, 
17, 
22, 
17, 
14, 
15, 
16, 
15, 
16, 
18, 
17, 
15, 
15, 
15, 
65, 
146, 
44, 
88, 
22, 
52, 
22, 
15, 
32, 
17, 
14, 
15, 
12, 
39, 
135, 
27, 
15, 
16, 
15, 
25, 
14, 
15, 
17, 
15, 
16, 
27, 
15, 
13, 
17, 
14, 
12, 
19, 
56, 
14, 
16, 
15, 
15, 
26, 
16, 
14, 
19, 
15, 
23, 
20, 
15, 
14, 
18, 
14, 
15, 
42, 
15, 
16, 
26, 
26, 
15, 
18, 
20, 
15, 
18, 
15, 
15, 
27, 
31, 
15, 
14, 
16, 
25, 
15, 
15, 
29, 
15, 
25, 
124, 
15, 
84, 
124, 
15, 
13, 
13, 
15, 
23, 
17, 
14, 
16, 
16, 
15, 
19, 
22, 
16, 
17, 
13, 
15, 
13, 
22, 
17, 
20, 
21, 
15, 
17, 
21, 
16, 
14, 
17, 
15, 
16, 
25, 
19, 
15, 
22, 
24, 
15, 
20, 
18, 
17, 
16, 
17, 
12, 
14, 
30, 
20, 
19, 
18, 
17, 
14, 
21, 
16, 
28, 
14, 
16, 
14, 
26, 
16, 
12, 
14, 
77, 
18, 
35, 
25, 
42, 
29, 
24, 
30, 
26, 
21, 
21, 
16, 
16, 
21, 
35, 
16, 
17, 
45, 
15, 
15, 
48, 
17, 
17, 
17, 
19, 
18, 
23, 
14, 
16, 
14, 
15, 
14, 
14, 
22, 
22, 
15, 
15, 
30, 
18, 
14, 
12, 
15, 
15, 
14, 
16, 
26, 
15, 
16, 
14, 
15, 
15, 
19, 
13, 
15, 
14, 
19, 
34, 
17, 
17, 
15, 
16, 
74, 
15, 
17, 
115, 
12, 
15, 
15, 
15, 
30, 
22, 
15, 
14, 
16, 
17, 
23, 
18, 
17, 
14, 
14, 
15, 
15, 
24, 
16, 
16, 
15, 
36, 
24, 
16, 
16, 
14, 
27, 
16, 
27, 
15, 
14, 
15, 
18, 
15, 
21, 
25, 
17, 
15, 
29, 
15, 
15, 
23, 
15, 
14, 
27, 
16, 
13, 
15, 
