ESP32 Sta,
26, 
24, 
26, 
25, 
25, 
31, 
25, 
27, 
30, 
27, 
27, 
27, 
35, 
60, 
29, 
103, 
44, 
28, 
28, 
27, 
27, 
46, 
31, 
26, 
32, 
31, 
38, 
83, 
30, 
29, 
85, 
30, 
1166, 
48, 
29, 
41, 
36, 
30, 
55, 
30, 
27, 
29, 
29, 
26, 
58, 
39, 
28, 
29, 
29, 
28, 
35, 
30, 
30, 
41, 
30, 
37, 
38, 
30, 
26, 
33, 
26, 
29, 
28, 
47, 
27, 
29, 
31, 
36, 
36, 
