ESP32 AP,
17, 
18, 
15, 
17, 
12, 
28, 
17, 
17, 
19, 
22, 
19, 
28, 
19, 
20, 
37, 
16, 
16, 
21, 
17, 
20, 
23, 
16, 
19, 
24, 
21, 
18, 
24, 
22, 
35, 
23, 
17, 
22, 
15, 
16, 
19, 
19, 
19, 
22, 
22, 
16, 
48, 
23, 
25, 
18, 
20, 
22, 
31, 
13, 
17, 
17, 
18, 
19, 
16, 
18, 
14, 
16, 
20, 
44, 
24, 
28, 
19, 
14, 
29, 
16, 
18, 
17, 
20, 
19, 
17, 
18, 
21, 
16, 
17, 
33, 
25, 
18, 
20, 
23, 
19, 
35, 
17, 
17, 
21, 
16, 
17, 
21, 
20, 
62, 
130, 
23, 
24, 
15, 
17, 
15, 
21, 
17, 
20, 
30, 
23, 
22, 
21, 
20, 
42, 
18, 
20, 
21, 
47, 
17, 
21, 
32, 
35, 
39, 
14, 
15, 
15, 
16, 
20, 
17, 
17, 
27, 
17, 
23, 
25, 
19, 
28, 
22, 
19, 
38, 
17, 
24, 
15, 
18, 
16, 
16, 
19, 
17, 
22, 
18, 
16, 
79, 
18, 
27, 
19, 
20, 
19, 
14, 
18, 
20, 
19, 
23, 
103, 
82, 
15, 
23, 
23, 
16, 
17, 
20, 
17, 
16, 
21, 
21, 
21, 
93, 
221, 
18, 
16, 
16, 
20, 
31, 
18, 
17, 
16, 
18, 
18, 
22, 
26, 
15, 
22, 
19, 
23, 
49, 
33, 
18, 
19, 
18, 
20, 
20, 
23, 
23, 
20, 
55, 
20, 
19, 
28, 
20, 
23, 
21, 
16, 
17, 
17, 
17, 
18, 
18, 
25, 
16, 
18, 
24, 
27, 
37, 
27, 
26, 
22, 
17, 
41, 
21, 
19, 
29, 
25, 
23, 
19, 
19, 
28, 
37, 
22, 
23, 
27, 
42, 
30, 
17, 
23, 
18, 
22, 
21, 
17, 
21, 
22, 
20, 
17, 
21, 
15, 
30, 
26, 
20, 
26, 
21, 
26, 
129, 
20, 
30, 
40, 
17, 
23, 
32, 
33, 
23, 
33, 
21, 
18, 
16, 
19, 
18, 
18, 
17, 
16, 
21, 
30, 
16, 
20, 
23, 
24, 
18, 
16, 
18, 
18, 
19, 
19, 
101, 
117, 
18, 
19, 
19, 
30, 
16, 
16, 
26, 
26, 
21, 
28, 
19, 
23, 
18, 
16, 
20, 
19, 
21, 
19, 
24, 
35, 
28, 
22, 
38, 
20, 
15, 
16, 
20, 
20, 
17, 
25, 
76, 
113, 
19, 
23, 
21, 
21, 
19, 
23, 
21, 
18, 
44, 
32, 
29, 
25, 
22, 
24, 
97, 
20, 
23, 
17, 
16, 
15, 
24, 
52, 
19, 
22, 
27, 
16, 
18, 
24, 
17, 
135, 
16, 
18, 
21, 
20, 
14, 
20, 
20, 
18, 
18, 
18, 
17, 
28, 
30, 
26, 
21, 
19, 
21, 
17, 
18, 
17, 
33, 
17, 
15, 
15, 
16, 
18, 
17, 
23, 
32, 
28, 
19, 
56, 
16, 
14, 
15, 
21, 
24, 
30, 
21, 
18, 
21, 
17, 
21, 
21, 
17, 
25, 
19, 
23, 
16, 
20, 
23, 
21, 
18, 
34, 
15, 
17, 
17, 
18, 
21, 
16, 
48, 
18, 
40, 
20, 
79, 
17, 
16, 
15, 
16, 
21, 
18, 
18, 
17, 
28, 
19, 
20, 
15, 
24, 
22, 
18, 
21, 
22, 
17, 
40, 
19, 
19, 
17, 
22, 
15, 
16, 
40, 
29, 
18, 
18, 
27, 
122, 
19, 
18, 
18, 
14, 
21, 
17, 
17, 
18, 
18, 
21, 
15, 
19, 
15, 
39, 
48, 
16, 
25, 
16, 
22, 
20, 
18, 
14, 
34, 
13, 
16, 
19, 
15, 
17, 
28, 
85, 
16, 
18, 
22, 
19, 
20, 
28, 
32, 
18, 
22, 
20, 
22, 
20, 
19, 
17, 
19, 
18, 
14, 
55, 
18, 
18, 
19, 
18, 
22, 
19, 
24, 
23, 
20, 
28, 
21, 
21, 
15, 
21, 
45, 
22, 
20, 
21, 
20, 
22, 
25, 
17, 
18, 
19, 
16, 
15, 
15, 
15, 
14, 
19, 
18, 
16, 
43, 
20, 
27, 
29, 
16, 
15, 
18, 
25, 
17, 
18, 
20, 
17, 
74, 
140, 
18, 
24, 
22, 
18, 
20, 
20, 
24, 
23, 
14, 
19, 
21, 
16, 
17, 
42, 
19, 
14, 
18, 
20, 
17, 
20, 
17, 
20, 
15, 
17, 
19, 
20, 
23, 
24, 
18, 
17, 
59, 
56, 
19, 
16, 
17, 
20, 
22, 
16, 
18, 
17, 
23, 
19, 
16, 
18, 
17, 
16, 
